elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1.22188,4.01528,4.43359,-2.8565,-3.07314,3.90967,-0.274364,-0.584884,0.0796448,-0.668748,0.176029,0.71484,0.103889
-0.931957,-3.72519,4.37148,4.68387,-0.98451,1.57752,0.183497,0.153162,-0.649679,0.137578,-0.376234,0.77368,0.490857
1.73168,6.16944,0.45381,-5.12609,-3.95519,-2.56756,-0.25856,1.00584,-0.0336849,0.164613,-0.332424,-0.203768,0.906022
1.02729,2.76522,-4.02224,1.64837,-0.691549,5.47027,-0.488511,-0.298161,0.41671,-0.437133,0.656158,-0.282925,0.546192
1.10694,-4.76236,-5.69247,1.45822,-6.20572,-3.91904,-0.359017,-0.068689,-0.808465,-0.288664,0.657829,-0.502349,0.481227
1.55527,3.14522,-1.23986,2.92541,1.05829,-5.7266,-0.241665,-0.665691,-0.270225,-0.272514,0.926523,-0.126296,0.226586
-1.49936,4.77405,-2.08915,-3.40071,-2.98237,-0.0093611,0.0296217,0.413684,0.437629,0.599768,-0.297076,0.681183,-0.296671
-0.482601,5.89905,3.79053,5.20059,0.286797,4.81298,0.0498126,0.296709,0.6178,0.183394,-0.602632,0.65007,0.424982
0.82942,-4.62092,1.92991,-1.02058,5.38416,-2.62133,-0.558992,-0.245209,-0.0304003,-0.06578,0.840749,-0.53636,-0.0336283
0.783773,1.37177,5.37818,5.96742,1.55433,5.94755,0.391828,0.639153,-0.813118,-0.341638,-0.555049,0.74037,0.164487
-1.69393,-1.63506,-6.12433,2.69665,-2.87802,-0.877463,0.074467,0.0999671,1.34851,0.282007,0.736767,0.0918755,0.607623
0.245449,1.25004,0.0971837,-2.42598,-1.16087,0.756811,0.310179,0.305116,-1.10891,0.173519,-0.256356,0.844494,-0.437039
-1.58691,5.34411,-0.92058,-4.11588,1.6824,-6.18499,0.156749,-0.275663,1.07373,-0.590845,0.0207885,-0.0789061,0.802648
0.953684,-2.34167,-1.30636,-5.01682,-5.49292,-4.84563,-0.732148,-0.589173,0.486881,-0.201324,0.839168,-0.110608,0.492983
2.96584,5.83607,-5.34757,5.08531,-1.7797,-0.749884,-1.05879,0.035702,0.0121794,-0.363787,-0.221488,0.814615,0.393707
-1.03855,-3.8431,-4.71678,1.04395,3.58629,2.95871,-0.317323,0.674654,0.1332,0.0486472,0.542877,0.375859,0.749432
-2.51822,0.92,-0.665685,-3.77928,0.811183,2.53151,-0.50194,-0.674253,-0.371019,-0.583674,-0.153986,0.72406,0.333691
-0.793782,-0.555973,3.89106,3.02691,-0.328797,4.07199,0.141527,0.261778,0.497453,0.690186,0.190671,-0.468355,0.517622
-2.93975,-3.04782,-1.86727,-4.73934,-5.42179,5.38356,0.64612,-0.123035,-0.225205,-0.000219325,-0.643147,-0.380742,0.664377
1.26615,0.477881,-4.25847,0.524284,0.473663,-0.163194,-0.25945,0.101233,-0.328971,0.510268,0.462082,0.610838,0.391131
1.75958,-0.954344,-3.53847,-2.93307,4.13269,4.0829,-0.164326,0.272293,-0.0156684,-0.344871,0.0223718,0.893218,0.28762
-0.038858,-5.5611,4.25603,5.5398,-0.294968,3.96359,0.742438,0.257018,0.35223,0.461397,-0.397526,0.403384,0.682911
